"time","xS","xI","xV","xR","xC","xF","xJ","R_t","date"
206,78048.792991539,0.20946134737069,20336.4396813351,1614.55786577778,0.000418835132307752,4995.29894344447,5.07582371663704,0.191296075523789,2020-07-25
207,78020.0759835896,0.193339566856713,20378.6141788119,1601.11649803085,0.000386604511897989,4995.30295609057,5.07584424563642,0.207612778788575,2020-07-26
208,77991.5392856531,0.178755824649887,20420.4962879859,1587.78567053558,0.000357447842769492,4995.306972238,5.0758632100323,0.224559656061707,2020-07-27
209,77963.1818364076,0.165557756431767,20462.0879987471,1574.56460708804,0.00033106076459809,4995.31098562752,5.07588075879163,0.242131102050477,2020-07-28
210,77935.0025799884,0.153608675027983,20503.3912877572,1561.45252357856,0.000307170205066476,4995.31499123272,5.07589702615423,0.260321339027727,2020-07-29
211,77907.0004835434,0.142786092088839,20544.4080900862,1548.44864027749,0.000285531435336651,4995.31898516668,5.07591213304492,0.279124418469786,2020-07-30
212,77879.1744666639,0.132979863744716,20585.1404132872,1535.55214018418,0.000265924371733301,4995.3229645861,5.07592618886635,0.298534222714457,2020-07-31
213,77851.5235073069,0.124091551134908,20625.5901662049,1522.76223493617,0.000248152304200227,4995.32692760569,5.07593929206371,0.318544466613204,2020-08-01
214,77824.0465710212,0.116032819095487,20665.7592734385,1510.07812272042,0.000232038700711113,4995.33087321863,5.07595153167632,0.339148699245213,2020-08-02
215,77796.7426286347,0.1087245049853,20705.6496467816,1497.49900007791,0.000217425350148073,4995.33480122073,5.07596298820963,0.360340305644843,2020-08-03
216,77769.6106562297,0.102095681266664,20745.2631853049,1485.02406278324,0.000204170491818102,4995.33871214286,5.07597373452216,0.382112508572209,2020-08-04
217,77742.6496351183,0.0960828144365995,20784.6017754381,1472.65250662842,0.000192147136864032,4995.34260719083,5.07598383662175,0.404458370325228,2020-08-05
