"time","xS","xI","xV","xR","xC","xF","xJ","date","R_t"
83,87655.3245794475,4.07601031784472,12310.8380933472,29.7613168864712,0.704855707123145,43.6114609927273,640055.094208561,2020-03-24,0.891855172633517
84,87549.1839152478,4.03163657510265,12416.8675753245,29.9168728514756,0.700896608105984,43.972632867918,647084.346032601,2020-03-25,0.88929341027965
85,87443.8519634333,3.9867095687018,12522.0946415662,30.0666854307897,0.696834311983142,44.3287846960274,654073.48867924,2020-03-26,0.886658420752053
86,87339.3226465085,3.94122923611691,12626.5253768449,30.210747409309,0.692666070008124,44.6798610611921,661021.476432384,2020-03-27,0.883947254876769
87,87235.5899326556,3.89519579008336,12730.165819914,30.3490516393747,0.68838906905592,45.0258068301132,667927.235765782,2020-03-28,0.881156834504385
88,87132.6478353312,3.84860974463001,12833.0219638543,30.4815910689057,0.684000432785007,45.3665672069132,674789.664704754,2020-03-29,0.878283946767766
89,87030.4904128662,3.80147194288929,12935.099756418,30.6083587719772,0.679497223201713,45.7020877924634,681607.632201527,2020-03-30,0.875325238207449
90,86929.1117680602,3.75378358680147,13036.4051003701,30.7293479820064,0.674876442678649,46.0323146484807,688379.977528441,2020-03-31,0.8722772087774
91,86828.5060477755,3.70554626883251,13136.9438538272,30.8445521277194,0.670135036483788,46.3571943667097,695105.509693841,2020-04-01,0.869136205748324
92,86728.6674425285,3.65676200582633,13236.7218305928,30.9539648720819,0.665269895882123,46.6766741435176,701783.006886078,2020-04-02,0.865898417530379
93,86629.5901860791,3.60743327511413,13335.7448004906,31.0575801543881,0.660277861877477,46.9907018602448,708411.215951668,2020-04-03,0.862559867442783
94,86531.2685550154,3.55756305300331,13434.0184896949,31.1553922357122,0.655155729668018,47.2992261696657,714988.851914377,2020-04-04,0.859116407463956
95,86433.6968683378,3.5071548557684,13531.5485810576,31.2473957479373,0.649900253895384,47.6021965889252,721514.597542769,2020-04-05,0.855563712003011
96,86336.8694870354,3.4562127832641,13628.3407144338,31.3335857465878,0.644508154773945,47.8995635993294,727987.102974569,2020-04-06,0.851897271741203
97,86240.7808136633,3.40474156527743,13724.4004870028,31.4139577676989,0.638976125193542,48.1912787533734,734404.985407116,2020-04-07,0.848112387601254
98,86145.4252919111,3.35274661072989,13819.7334535883,31.4885078889706,0.633300838896134,48.4772947893982,740766.828864125,2020-04-08,0.844204164912341
99,86050.7974061692,3.30023405983332,13914.3451269745,31.5572327954564,0.627478959833903,48.7575657542707,747071.184050041,2020-04-09,0.840167507850134
100,85956.8916810896,3.24721083929155,14008.2409782202,31.6201298500504,0.62150715282348,49.0320471344781,753316.568304354,2020-04-10,0.835997114243885
101,85863.7026811401,3.19368472062667,14101.4264369694,31.6771971690388,0.615382095617933,49.3006959960253,759501.465669454,2020-04-11,0.831687470856864
102,85771.2250101542,3.13966438168993,14193.9068917602,31.7284337029872,0.609100492524799,49.5634711335111,765624.327086832,2020-04-12,0.82723284926208
103,85679.4533108745,3.08515947139533,14285.6876903301,31.7738393232413,0.602659089704499,49.8203332287406,771683.570737749,2020-04-13,0.822627302452706
104,85588.3822644884,3.03018067768577,14376.7741399188,31.8134149143119,0.596054692288801,50.0712450192087,777677.582545884,2020-04-14,0.817864662345623
105,85498.0065901594,2.97473979870785,14467.1715075686,31.8471624724196,0.589284183463104,50.3161714767521,783604.716860868,2020-04-15,0.812938538357365
106,85408.3210445504,2.91884981713119,14556.8850204213,31.8750852104627,0.582344545658965,50.5550799966237,789463.297343079,2020-04-16,0.807842317254339
107,85319.320421339,2.86252497749936,14645.9198660132,31.897187669663,0.575232884003998,50.7879405971871,795251.618071532,2020-04-17,0.802569164503478
108,85230.999550728,2.80578086644316,14734.2811925668,31.9134758381281,0.567946452174495,51.0147261303554,800967.944898172,2020-04-18,0.797112027375412
109,85143.3532989473,2.74863449552058,14821.9741092799,31.9239572765466,0.560482680791267,51.2354125028157,806610.517073304,2020-04-19,0.79146364007961
110,85056.37656775,2.69110438637091,14909.0036866118,31.9286412512024,0.552839208490639,51.4499789079729,812177.549168256,2020-04-20,0.785616531239545
111,84970.0642939003,2.63321065778298,14995.3749565669,31.9275388744593,0.545013915789477,51.6584080684267,817667.233322644,2020-04-21,0.77956303404523
112,84884.4114486568,2.57497511417674,15081.0929129757,31.92066325282,0.537004961844647,51.860686488647,823077.74184469,2020-04-22,0.773295299450239
113,84799.4130372494,2.51642133488494,15166.1625117726,31.9080296426071,0.528810824182667,52.0568047173462,828407.230193945,2020-04-23,0.766805312809521
114,84715.0640983512,2.45757476349491,15250.5886712714,31.8896556132472,0.520430341443345,52.246757618854,833653.840376364,2020-04-24,0.76008491438241
115,84631.3597035472,2.39846279637046,15334.3762724378,31.8655612180567,0.511862759140964,52.4305446525764,838815.704781937,2020-04-25,0.753125824150928
116,84548.2949567987,2.33911486931989,15417.5301591592,31.8357691723364,0.503107778396967,52.6081701593729,843890.950494849,2020-04-26,0.74591967142559
117,84465.8649939079,2.27956254120944,15500.0551385118,31.8003050384702,0.494165607538169,52.7796436534077,848877.704105432,2020-04-27,0.738458029727703
118,84384.0649819829,2.21983957314193,15581.9559810257,31.7591974175977,0.485037016383168,52.9449801177204,853774.097051714,2020-04-28,0.730732457446982
119,84302.8901189045,2.159982001631,15663.2374209461,31.7124781472882,0.475723392956114,53.1042003014283,858578.271516246,2020-04-29,0.722734544773731
120,84222.3356327983,2.10002820400386,15743.9041564928,31.6601825044817,0.466226802270689,53.2573310161022,863288.386900759,2020-04-30,0.714455967393689
121,84142.3967815154,2.04001895406396,15823.9608501172,31.6023494127818,0.456550046717684,53.4044054284772,867902.626897121,2020-05-01,0.705888547407949
122,84063.0688521238,1.97999746584342,15903.4121287568,31.539021652989,0.446696727467145,53.5454633462435,872419.207167799,2020-05-02,0.697024321897338
123,83984.3471604143,1.92000942308087,15982.2625840865,31.4702460755438,0.436671306161301,53.6805514932459,876836.383642457,2020-05-03,0.687855619487113
124,83906.2270504253,1.86010299187869,16060.516772769,31.3960738133171,0.426479166028828,53.8097237699939,881152.461429381,2020-05-04,0.678375145180536
125,83828.7038939916,1.80032881382824,16138.1792167012,31.3165604929279,0.416126671395521,53.9330414949474,885365.80433118,2020-05-05,0.668576073617266
126,83751.7730903557,1.7407399763741,16215.2544032255,31.2317664420057,0.405621224345918,54.050573621076,889474.844953662,2020-05-06,0.658452150835999
127,83675.4300656668,1.68139195963533,16291.7467854806,31.1417568926583,0.394971317512802,54.1623969253933,893478.095315037,2020-05-07,0.647997804015158
128,83599.6702727399,1.62234255240062,16367.6607825341,31.0466021734021,0.384186580851933,54.2685961599296,897374.158028602,2020-05-08,0.637208259551433
129,83524.4891907099,1.56365173882407,16443.0007796593,30.9463778916856,0.373277821393945,54.3692641641179,901161.737868887,2020-05-09,0.626079668122419
130,83449.8823247738,1.50538155085238,16517.7711285736,30.8411651014293,0.362257053889803,54.4645019297546,904839.653704157,2020-05-10,0.614609236209489
131,83375.8452059864,1.44759588432349,16591.9761476763,30.7310504526818,0.351137520547636,54.5544186130714,908406.850682354,2020-05-11,0.602795362809062
132,83302.3733911187,1.39036027658342,16665.6201222846,30.6161263198122,0.339933697942134,54.6391314880195,911862.412551927,2020-05-12,0.59063777980305
133,83229.4624625824,1.33374164394633,16738.7073048689,30.4964909044966,0.328661289173951,54.7187658351524,915205.573979489,2020-05-13,0.578137694111702
134,83157.1080284243,1.27780797793909,16811.2419152879,30.3722483096538,0.317337199415651,54.7934547609739,918435.732707547,2020-05-14,0.565297929397237
135,83085.3057223966,1.22262800002736,16883.2281410227,30.2435085804435,0.305979493113287,54.8633389433033,921552.46137727,2020-05-15,0.552123064738564
136,83014.0512041046,1.168270775415,16954.6701374112,30.1103877084903,0.294607331328107,54.9285662991139,924555.518825083,2020-05-16,0.538619567371734
137,82943.3401592349,1.11480528753413,17025.5720278816,29.9730075956353,0.283240888008358,54.9892915724453,927444.860648181,2020-05-17,0.524795916306394
138,82873.1682998625,1.06229997598401,17095.9379041874,29.8314959737672,0.271901244380448,55.04567584134,930220.648823748,2020-05-18,0.510662713405597
139,82803.5313648386,1.01082224190573,17165.7718266415,29.6859862776446,0.260610261141054,55.0978859443247,932883.260161111,2020-05-19,0.496232778376465
140,82734.425120254,0.960437926064076,17235.0778243515,29.5366174681159,0.249390428711228,55.1460938286997,935433.293365599,2020-05-20,0.481521224083326
141,82665.8453599742,0.91121076620115,17303.8598954554,29.3835338037417,0.238264696467649,55.1904758247954,937871.574498708,2020-05-21,0.466545508682553
142,82597.7879062404,0.863201841477859,17372.1220073581,29.2268845595727,0.227256282576325,55.2312118523106,940199.160631878,2020-05-22,0.451325461305133
143,82530.2486103254,0.816469012968266,17439.8680969686,29.066823692672,0.216388466794624,55.2684845668523,942417.341511116,2020-05-23,0.435883278389607
144,82463.2233532367,0.771066370155654,17507.1020709379,28.9035094549214,0.205684369347324,55.302478456716,944527.639077059,2020-05-24,0.420243488298009
145,82396.708046453,0.727043694133529,17573.8278058978,28.7371039546796,0.195166719685145,55.3333789017463,946531.804719713,2020-05-25,0.404432882525683
146,82330.6986326806,0.684445948679285,17640.0491487003,28.567772669934,0.184857619561141,55.361371207665,948431.814188368,2020-05-26,0.388480412627967
147,82265.191086615,0.643312810490573,17705.7699166573,28.395683916692,0.17477830537172,55.3866396305185,950229.86012427,2020-05-27,0.37241705290821
148,82200.1814156914,0.60367824961459,17770.9938977811,28.221008277437,0.164948915068054,55.4093664067414,951928.342234999,2020-05-28,0.356275629908434
149,82135.6656607867,0.565570170551166,17835.7248510457,28.0439179965073,0.155388265214883,55.4297308057626,953529.855200052,2020-05-29,0.340090620735208
150,82071.6398969597,0.529010122740438,17899.9665065724,27.8645863446238,0.146113643186385,55.4479082163461,955037.174362623,2020-05-30,0.32389792349752
151,82008.1002340365,0.494013089385219,17963.7225659058,27.6831869679281,0.137140620517479,55.4640692898667,956453.239508336,2020-05-31,0.307734603539756
152,81945.0428171559,0.460587359685798,18026.9967022597,27.499893224224,0.128482891499255,55.4783791488703,957781.13688302,2020-06-01,0.291638620626345
153,81882.4638272496,0.428734488666928,18089.7925607457,27.3148775155927,0.120152141174025,55.4909966740944,959024.079726424,2020-06-02,0.275648542553496
154,81820.3594814157,0.398449346378944,18152.1137586099,27.1283106274663,0.112157946035376,55.5020738817031,960185.387654274,2020-06-03,0.259803251151464
155,81758.7260331927,0.369720255686768,18213.9638854685,26.9403610825443,0.104507709586079,55.511755398481,961268.465220227,2020-06-04,0.244141646943017
156,81697.5597727297,0.342529215574536,18275.3465035362,26.751194517932,0.0972066338667877,55.5201780404631,962276.780008793,2020-06-05,0.228702358701614
157,81636.8570268563,0.316852204650548,18336.265147845,26.5609730933761,0.0902577269585354,55.527470497796,963213.840614622,2020-06-06,0.213523463905184
